species,type,freshwater_estimate,freshwater_plastisphere_enriched,freshwater_plastisphere_unique,seawater_estimate,seawater_plastisphere_enriched,seawater_plastisphere_unique,terrestrial_estimate,terrestrial_plastisphere_enriched,terrestrial_plastisphere_unique,freshwater_level,freshwater_environment,freshwater_plastisphere,fwe_mean,fwp_mean,fw_mean_difference,seawater_level,seawater_environment,seawater_plastisphere,swe_mean,swp_mean,sw_mean_difference,terrestrial_level,terrestrial_environment,terrestrial_plastisphere,tre_mean,trp_mean,tr_mean_difference,Start,End
Bacteroides.dorei,Animal,4.02E-06,0,0,7.02E-06,0,0,-6.14E-05,1,0,depleted,23.55944056,187.8666667,0.111431085,0.888568915,0.77713783,depleted,20.72727273,17.92666667,0.536226658,0.463773342,-0.072453316,enriched,0.02027027,3.711764706,0.005431426,0.994568574,0.989137148,52,53
Bacteroides.eggerthii,Animal,3.24E-05,0,0,9.82E-06,0,0,1.18E-05,0,0,depleted,5.370629371,8.816666667,0.378552006,0.621447994,0.242895988,depleted,0.931818182,0.14,0.869380831,0.130619169,-0.738761662,ns,0.02027027,0.870588235,0.022753636,0.977246364,0.954492728,53,54
Bacteroides.fragilis,Animal,4.71E-05,0,0,5.69E-06,0,0,0,1,1,ns,24.81818182,43.28333333,0.364429217,0.635570783,0.271141566,depleted,12.33333333,2.55,0.828667413,0.171332587,-0.657334826,enriched,0,1.064705882,0,1,1,54,55
Bacteroides.helcogenes,Animal,0,0,1,0,1,0,0,0,0,ns,0,0.025,0,1,1,enriched,0.022727273,0,1,0,-1,ns,0,0,0,0,0,55,56
Bacteroides.ovatus,Animal,3.30E-05,0,0,1.21E-05,0,0,0,1,1,ns,101.6713287,39.8,0.718670911,0.281329089,-0.437341822,depleted,6.575757576,2.446666667,0.728823806,0.271176194,-0.457647612,enriched,0,6.988235294,0,1,1,56,57
Bacteroides.salanitronis,Animal,1.11E-06,0,0,0,0,0,0,0,0,ns,17.69230769,0.008333333,0.999529207,0.000470793,-0.999058414,ns,0,0,0,0,0,ns,0,0,0,0,0,57,58
Bacteroides.salyersiae,Animal,0,0,0,0,0,1,0,0,0,ns,0,0,0,0,0,ns,0,0.013333333,0,1,1,ns,0,0,0,0,0,58,59
Bacteroides.stercoris,Animal,2.65E-05,0,0,1.78E-06,0,0,0,0,1,depleted,6.363636364,36.41666667,0.148751549,0.851248451,0.702496902,depleted,3.46969697,1.523333333,0.694908054,0.305091946,-0.389816108,ns,0,1.741176471,0,1,1,59,60
Bacteroides.uniformis,Animal,3.96E-05,0,0,2.33E-05,0,0,0,0,1,ns,5.937062937,30.93333333,0.1610252,0.8389748,0.6779496,depleted,5.977272727,2.87,0.675606247,0.324393753,-0.351212494,ns,0,1.176470588,0,1,1,60,61
Bartonella.apis,Animal,-34.99997283,1,0,-2.41E-05,1,0,-0.99997798,0,0,enriched,10.81818182,172.4083333,0.059042665,0.940957335,0.88191467,enriched,10.08333333,70.33,0.125393799,0.874606201,0.749212402,ns,29.69594595,90.97647059,0.246087273,0.753912727,0.507825454,61,62
Bartonella.bacilliformis,Animal,4.59E-05,0,0,-4.42E-05,1,0,-7.21E-07,0,0,ns,0.216783217,0.033333333,0.866728799,0.133271201,-0.733457598,enriched,0.78030303,126.72,0.006120009,0.993879991,0.987759982,ns,0.236486486,0.358823529,0.397249299,0.602750701,0.205501402,62,63
Bartonella.birtlesii,Animal,-6.51E-05,1,0,4.18E-05,0,0,-3.80E-05,0,0,enriched,2.258741259,80.03333333,0.027447859,0.972552141,0.945104282,ns,0.234848485,7.21,0.031545099,0.968454901,0.936909802,ns,0.02027027,0.7,0.028142589,0.971857411,0.943714822,63,64
Bartonella.bovis,Animal,-51.99994153,1,0,-4.64E-05,0,0,2.92E-05,0,0,enriched,20.25174825,461.975,0.041996319,0.958003681,0.916007362,ns,2.810606061,22.28,0.112018261,0.887981739,0.775963478,ns,85.66216216,36,0.704098634,0.295901366,-0.408197268,64,65
Bartonella.doshiae,Animal,-1.91E-05,1,0,0,0,1,0,0,0,enriched,0.545454545,18.09166667,0.029267103,0.970732897,0.941465794,ns,0,1.923333333,0,1,1,ns,0,0,0,0,0,65,66
Bartonella.rattaustraliani,Animal,-2.999956289,1,0,3.35E-05,0,0,8.19E-05,0,0,enriched,29.13286713,82.94166667,0.259941899,0.740058101,0.480116202,ns,21.68181818,71.54333333,0.23257477,0.76742523,0.53485046,depleted,49.7027027,37.44117647,0.570352194,0.429647806,-0.140704388,66,67
Bartonella.tribocorum,Animal,-12.00003573,1,0,7.23E-05,0,0,9.999933387,0,0,enriched,17.11188811,86.10833333,0.165780386,0.834219614,0.668439228,ns,3.71969697,22.86666667,0.139909956,0.860090044,0.720180088,depleted,96.93243243,94.61764706,0.506042246,0.493957754,-0.012084492,67,68
Bifidobacterium.longum,Animal,6.15E-05,0,0,-4.00E-05,0,0,0,1,1,ns,5.538461538,7.308333333,0.431116212,0.568883788,0.137767576,ns,1.325757576,6.786666667,0.163423107,0.836576893,0.673153786,enriched,0,11.75882353,0,1,1,68,69
Bordetella.avium,Animal,2.00E-05,0,0,-1.57E-05,0,0,4.37E-05,0,0,ns,0.216783217,0.175,0.553324409,0.446675591,-0.106648818,ns,0.068181818,1.73,0.037917088,0.962082912,0.924165824,ns,2.439189189,6.152941176,0.283886427,0.716113573,0.432227146,69,70
Bordetella.bronchialis,Animal,-8.48E-06,0,0,1.90E-06,0,0,-2.65E-05,0,0,ns,0.258741259,3.108333333,0.076844528,0.923155472,0.846310944,depleted,0.166666667,0.343333333,0.326797386,0.673202614,0.346405228,ns,0.97972973,3.541176471,0.216710917,0.783289083,0.566578166,70,71
Bordetella.bronchiseptica,Animal,0,0,0,0,0,0,0,1,1,ns,0,0,0,0,0,ns,0,0,0,0,0,enriched,0,113.6294118,0,1,1,71,72
Bordetella.petrii,Animal,1.54E-05,0,0,0.999950438,0,0,9.37E-06,0,0,depleted,4.706293706,3.708333333,0.559299145,0.440700855,-0.11859829,depleted,5.318181818,1.03,0.837748819,0.162251181,-0.675497638,ns,1.891891892,3.470588235,0.35280166,0.64719834,0.29439668,72,73
Bordetella.trematum,Animal,0,0,0,0,0,0,0,1,1,ns,0,0,0,0,0,ns,0,0,0,0,0,enriched,0,57.78235294,0,1,1,73,74
Brevibacillus.brevis,Animal,-1.04E-05,1,0,-8.37E-05,0,0,29.99996831,0,0,enriched,0.286713287,8.341666667,0.033229098,0.966770902,0.933541804,ns,0.28030303,12.76333333,0.021489638,0.978510362,0.957020724,depleted,297.3040541,542.3647059,0.354073021,0.645926979,0.291853958,74,75
Brevibacillus.laterosporus,Animal,0,1,1,-7.24E-07,0,0,4.64E-05,0,0,enriched,0,3.966666667,0,1,1,ns,0.212121212,0.103333333,0.672430356,0.327569644,-0.344860712,depleted,11.39189189,1.105882353,0.911513656,0.088486344,-0.823027312,75,76
Brevibacterium.casei,Animal,-8.65E-06,0,0,-3.21E-05,1,0,-2.80E-05,1,0,ns,0.090909091,0.508333333,0.151706701,0.848293299,0.696586598,enriched,0.098484848,50.89666667,0.001931259,0.998068741,0.996137482,enriched,1.716216216,11.77647059,0.127196032,0.872803968,0.745607936,76,77
Brevundimonas.diminuta,Animal,-53.99999831,1,0,-6.52E-06,0,0,-645.3933384,1,0,enriched,176.3426573,466.725,0.274221002,0.725778998,0.451557996,ns,39.62121212,104.7066667,0.274522237,0.725477763,0.450955526,enriched,225.4594595,3608.570588,0.058804823,0.941195177,0.882390354,77,78
Brevundimonas.vesicularis,Animal,-8.000038697,1,0,3.02E-05,0,0,-33.00004973,1,0,enriched,114.7202797,182.75,0.385652912,0.614347088,0.228694176,depleted,5.742424242,56.23666667,0.092650992,0.907349008,0.814698016,enriched,28.50675676,245.6058824,0.103996506,0.896003494,0.792006988,78,79
Brucella.ceti,Animal,-3.92E-05,0,0,-10.99999192,1,0,-3.70E-05,1,0,ns,9.265734266,84.775,0.098528944,0.901471056,0.802942112,enriched,22.08333333,600.58,0.035465929,0.964534071,0.929068142,enriched,0.027027027,0.176470588,0.1328125,0.8671875,0.734375,79,80
Brucella.microti,Animal,-5.53E-05,0,0,-3.999921397,1,0,-5.10E-05,1,0,ns,0.391608392,9.675,0.038901721,0.961098279,0.922196558,enriched,10.18181818,114.0066667,0.081986814,0.918013186,0.836026372,enriched,1.378378378,19.84705882,0.064939929,0.935060071,0.870120142,80,81
Brucella.neotomae,Animal,-5.86E-05,0,0,-5.21E-05,1,0,0,0,1,ns,0.146853147,0.425,0.256802201,0.743197799,0.486395598,enriched,1.333333333,114.7366667,0.011487321,0.988512679,0.977025358,ns,0,0.011764706,0,1,1,81,82
Buchnera.aphidicola,Animal,0,1,1,0,0,1,0,0,0,enriched,0,0.708333333,0,1,1,ns,0,0.086666667,0,1,1,ns,0,0,0,0,0,82,83
Burkholderia.ambifaria,Animal,-1.93E-05,1,0,5.99E-05,0,0,-2.05E-05,1,0,enriched,1.93006993,35.39166667,0.051714366,0.948285634,0.896571268,depleted,0.090909091,0.013333333,0.872093026,0.127906974,-0.744186052,enriched,0.263513514,120.2,0.002187496,0.997812504,0.995625008,83,84
Burkholderia.dolosa,Animal,-7.40E-05,0,0,-4.75E-05,0,0,-5.000031276,1,0,ns,0.013986014,0.025,0.358744395,0.641255605,0.28251121,ns,0.015151515,0.233333333,0.060975609,0.939024391,0.878048782,enriched,11.83783784,76.22941176,0.134418162,0.865581838,0.731163676,84,85
Burkholderia.mallei,Animal,18.00005498,0,0,-7.06E-05,0,0,3.62E-05,0,0,depleted,137.4335664,86.23333333,0.614456438,0.385543562,-0.228912876,ns,14.63636364,276.3233333,0.050303749,0.949696251,0.899392502,depleted,66.08108108,15.49411765,0.810063378,0.189936622,-0.620126756,85,86
Burkholderia.pyrrocinia,Animal,0,0,0,0,0,0,0,1,1,ns,0,0,0,0,0,ns,0,0,0,0,0,enriched,0,22.64705882,0,1,1,86,87
Burkholderiales.bacterium,Animal,4.999939638,0,0,9.03E-05,0,0,2.99999344,0,0,ns,2167.41958,1505.766667,0.590065255,0.409934745,-0.18013051,depleted,9.5,21.93333333,0.302226935,0.697773065,0.39554613,ns,189.3918919,108.5176471,0.635736246,0.364263754,-0.271472492,87,88
Calyptogena.elongata,Animal,0,0,1,-6.35E-05,1,0,0,0,0,ns,0,0.033333333,0,1,1,enriched,0.46969697,15.32333333,0.029740776,0.970259224,0.940518448,ns,0,0,0,0,0,88,89
Candidatus.Accumulibacter,Animal,0,1,0,9.000071744,0,0,0,0,0,enriched,0.594405594,0,1,0,-1,depleted,37.39393939,2.886666667,0.928336067,0.071663933,-0.856672134,ns,0,0,0,0,0,89,90
Candidatus.Bartonella,Animal,0,0,0,0,0,0,0,1,1,ns,0,0,0,0,0,ns,0,0,0,0,0,enriched,0,406.7823529,0,1,1,90,91
Candidatus.Endolissoclinum,Animal,3.23E-05,0,0,1.30E-05,0,0,0,0,0,depleted,0.706293706,0.166666667,0.809078771,0.190921229,-0.618157542,depleted,1.310606061,15.55333333,0.077716483,0.922283517,0.844567034,ns,0,0,0,0,0,91,92
Candidatus.Nitrospira,Animal,18.99997663,0,0,4.77E-05,0,0,78.00000815,0,0,depleted,161.9370629,103.6583333,0.609713366,0.390286634,-0.219426732,ns,2.454545455,8.4,0.226130653,0.773869347,0.547738694,depleted,260.3648649,112.1411765,0.698954744,0.301045256,-0.397909488,92,93
Candidatus.Pelagibacter,Animal,95.99998993,0,0,4667.434434,0,0,0,0,1,depleted,1851.412587,6.875,0.996300357,0.003699643,-0.992600714,depleted,7766.590909,357.54,0.955990369,0.044009631,-0.911980738,ns,0,0.941176471,0,1,1,93,94
Candidatus.Puniceispirillum,Animal,0,1,1,6.000048208,0,0,-1.02E-05,0,0,enriched,0,0.158333333,0,1,1,depleted,50.96212121,42.54333333,0.54501763,0.45498237,-0.09003526,ns,0.277027027,1.617647059,0.146213551,0.853786449,0.707572898,94,95
Candidatus.Rhodoluna,Animal,1763.000048,0,0,36.99998212,0,0,2.40E-05,0,0,depleted,3154.104895,40.225,0.987407375,0.012592625,-0.97481475,depleted,786.5757576,20.72666667,0.97432602,0.02567398,-0.94865204,ns,10.73648649,49.78235294,0.177407343,0.822592657,0.645185314,95,96
Candidatus.Saccharibacteria,Animal,5.86E-06,0,0,1.23E-05,0,0,-2.74E-05,1,0,ns,2.223776224,2.583333333,0.462601528,0.537398472,0.074796944,depleted,1.045454545,0.103333333,0.910050119,0.089949881,-0.820100238,enriched,4.108108108,679.0588235,0.00601333,0.99398667,0.98797334,96,97
