Genus	kingdom	phylum	class	order	family	full
Cnuella	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Bacteroidetes
Veillonella	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Asinibacterium	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Bacteroidetes
Magnetospirillum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Castellaniella	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Betaproteobacteria
Corallococcus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	ZLow Abundance
Domibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Firmicutes
Mongoliicoccus	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Bacteroidetes
Photorhabdus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria
Marinimicrobium	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria
Catenibacterium	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Firmicutes
Grimontia	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Gammaproteobacteria
Cyclobacterium	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Bacteroidetes
Acidicaldus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Belliella	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Bacteroidetes
Thermoactinomyces	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_1	Firmicutes
Nereida	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Microbispora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Actinobacteria
Mogibacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII	Firmicutes
Gp15	Bacteria	Acidobacteria	Acidobacteria_Gp15	Unassigned	Unassigned	Acidobacteria
Acidiferrobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Gammaproteobacteria
Caldanaerovirga	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_III	Firmicutes
Fangia	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_incertae_sedis	Gammaproteobacteria
Cellulosilyticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Effusibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Firmicutes
Aneurinibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_2	Firmicutes
Pontibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Firmicutes
Marinococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Firmicutes
Anaerospora	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Arcicella	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Leptolinea	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ZLow Abundance
Sulfuricella	Bacteria	Proteobacteria	Betaproteobacteria	Sulfuricellales	Sulfuricellaceae	Betaproteobacteria
Thermoanaerobacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_III	Firmicutes
Clostridium_IV	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Franconibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria
Mariniradius	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Bacteroidetes
Thiogranum	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Gammaproteobacteria
Maritalea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Alphaproteobacteria
Litoricola	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Gammaproteobacteria
Parapedobacter	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Bacteroidetes
Schumannella	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Actinobacteria
Lysinimonas	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Actinobacteria
Saccharibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Firmicutes
Mechercharimyces	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_2	Firmicutes
Verrucosispora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Herbiconiux	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Actinobacteria
Lacinutrix	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Tepidanaerobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_III	Firmicutes
Neisseria	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Desulfarculus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	ZLow Abundance
Larkinella	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Sediminibacter	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Saccharofermentans	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Smaragdicoccus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Actinobacteria
Prosthecomicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Alphaproteobacteria
Nubsella	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Bacteroidetes
Paracraurococcus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Oxalicibacterium	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Betaproteobacteria
Shimazuella	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_1	Firmicutes
Pseudospirillum	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Gammaproteobacteria
Rathayibacter	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Actinobacteria
Morganella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria
Variovorax	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Betaproteobacteria
Tissierella	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Firmicutes
Desulfonatronobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Nitrobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Alphaproteobacteria
Desulfobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Leucobacter	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Actinobacteria
Lamprocystis	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Gammaproteobacteria
Paramoritella	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Gammaproteobacteria
Dissulfuribacter	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_incertae_sedis	Unassigned	ZLow Abundance
Desulfovirga	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	ZLow Abundance
Craurococcus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Rhodocytophaga	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Caldithrix	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacterales_incertae_sedis	ZLow Abundance
Acanthopleuribacter	Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acidobacteria
Sporolituus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Eggerthella	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Actinobacteria
Syntrophobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	ZLow Abundance
Brochothrix	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Firmicutes
Fontimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Gammaproteobacteria
Chromohalobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Gammaproteobacteria
Profundibacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Amnibacterium	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Actinobacteria
Pseudobacteriovorax	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Pseudobacteriovoracaceae	ZLow Abundance
Holdemanella	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Firmicutes
Actinophytocola	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinobacteria
Intrasporangium	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Actinobacteria
Natranaerovirga	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Firmicutes
Caldalkalibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_incertae_sedis	Firmicutes
Haloactinobacterium	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Ruaniaceae	Actinobacteria
Sinibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Firmicutes
Barnesiella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroidetes
Providencia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria
Rubrivivax	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Betaproteobacteria
Fervidicella	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Firmicutes
Desulfocapsa	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	ZLow Abundance
Isosphaera	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomycetes
Calditerricola	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_incertae_sedis	Firmicutes
Streptomonospora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiopsaceae	Actinobacteria
Acetonema	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Butyrivibrio	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Taonella	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Alphaproteobacteria
Sporocytophaga	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Kozakia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Intestinibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Firmicutes
Megamonas	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Aquisalimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Gammaproteobacteria
Leptospira	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	ZLow Abundance
Komagataeibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Angiococcus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	ZLow Abundance
Proteiniclasticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Firmicutes
Salimicrobium	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Firmicutes
Arhodomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Gammaproteobacteria
Mycoplasma	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	ZLow Abundance
Glycocaulis	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Alphaproteobacteria
Peptostreptococcaceae_incertae_sedis	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Firmicutes
Natronincola	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_2	Firmicutes
Thermoflavifilum	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Bacteroidetes
Methylococcus	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Gammaproteobacteria
Anaerorhabdus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroidetes
Eisenbergiella	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Marvinbryantia	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Methylohalomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Gammaproteobacteria
Desulfacinum	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	ZLow Abundance
Gp25	Bacteria	Acidobacteria	Acidobacteria_Gp25	Unassigned	Unassigned	Acidobacteria
Acidaminococcus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Firmicutes
Acidipila	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Acidobacteria
Cronobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria
Galbibacter	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Gallionella	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Betaproteobacteria
Pelomonas	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Betaproteobacteria
Gemella	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XI	Firmicutes
Prosthecochloris	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	ZLow Abundance
Thermicanus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_X	Firmicutes
Candidatus_Cloacamonas	Bacteria	Cloacimonetes	Unassigned	Unassigned	Unassigned	ZLow Abundance
SR1_genera_incertae_sedis	Bacteria	SR1	Unassigned	Unassigned	Unassigned	ZLow Abundance
Bordetella	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Betaproteobacteria
Jonquetella	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	ZLow Abundance
Aliiroseovarius	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Pseudoflavonifractor	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Microgenomates_genera_incertae_sedis	Bacteria	Microgenomates	Unassigned	Unassigned	Unassigned	ZLow Abundance
Tindallia	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_2	Firmicutes
Bowmanella	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria
Geosporobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_4	Firmicutes
Motilibacter	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Actinobacteria
Aminicenantes_genera_incertae_sedis	Bacteria	Aminicenantes	Unassigned	Unassigned	Unassigned	ZLow Abundance
Sideroxydans	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Betaproteobacteria
Persephonella	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	ZLow Abundance
Thermonema	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Bacteroidetes
Neoasaia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Smithella	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	ZLow Abundance
Actinocorallia	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinobacteria
Cryomorpha	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Bacteroidetes
Roseiflexus	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	ZLow Abundance
Succinispira	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Firmicutes
Acetobacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Firmicutes
Phascolarctobacterium	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Firmicutes
Saccharibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Neorickettsia	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Alphaproteobacteria
Laribacter	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Thermoflavimicrobium	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_1	Firmicutes
Natronocella	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Gammaproteobacteria
Armatimonadetes_gp7	Bacteria	Armatimonadetes	Unassigned	Unassigned	Unassigned	ZLow Abundance
Larsenimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Gammaproteobacteria
Sinobacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Gammaproteobacteria
Telmatocola	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomycetes
Cloacibacillus	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	ZLow Abundance
Oceanimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Gammaproteobacteria
Pseudofulvimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Gammaproteobacteria
Bryocella	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Acidobacteria
Cruoricaptor	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Luteibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Gammaproteobacteria
Poribacteria_genera_incertae_sedis	Bacteria	Poribacteria	Unassigned	Unassigned	Unassigned	ZLow Abundance
Desulfothermus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	ZLow Abundance
Leadbetterella	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Helicobacter	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	ZLow Abundance
Hippea	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	ZLow Abundance
Alkalibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Firmicutes
Virgibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Firmicutes
Cardiobacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Gammaproteobacteria
Oerskovia	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Actinobacteria
Cesiribacter	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Bacteroidetes
Fibrobacter	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	ZLow Abundance
Methylocapsa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Alphaproteobacteria
Chlamydophila	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	ZLow Abundance
Paraprevotella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Bacteroidetes
Microvirgula	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Psychrobacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Firmicutes
Entomoplasma	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	ZLow Abundance
Hoppeia	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Mitsuokella	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Acidisphaera	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Subdivision5_genera_incertae_sedis	Bacteria	Verrucomicrobia	Subdivision5	Unassigned	Unassigned	Verrucomicrobia
Pectinatus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Lunatimonas	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Bacteroidetes
Phaeovibrio	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Mongoliitalea	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Bacteroidetes
Thiorhodospira	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Gammaproteobacteria
Piscirickettsia	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Gammaproteobacteria
Salinispirillum	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria
Anaplasma	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Alphaproteobacteria
Heliophilum	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Firmicutes
Rufibacter	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Plasticicumulans	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Gammaproteobacteria
Caminibacter	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	ZLow Abundance
Thiocystis	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Gammaproteobacteria
Anaerocella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Bacteroidetes
Roseisalinus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Xylella	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Gammaproteobacteria
Nibribacter	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Gp20	Bacteria	Acidobacteria	Acidobacteria_Gp20	Unassigned	Unassigned	Acidobacteria
Methylohalobius	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Gammaproteobacteria
Tepidiphilus	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Betaproteobacteria
Hathewaya	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Firmicutes
Victivallis	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	ZLow Abundance
Phytohabitans	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Gracilibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Firmicutes
Thermodesulfovibrio	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	ZLow Abundance
Weeksella	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Wohlfahrtiimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Gammaproteobacteria
Paludibacterium	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Desulfovermiculus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	ZLow Abundance
Gluconacetobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Thiohalospira	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Gammaproteobacteria
Kallotenue	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Kallotenuaceae	ZLow Abundance
Nitratiruptor	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	ZLow Abundance
Hartmannibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Alphaproteobacteria
Caldibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Firmicutes
Orientia	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Alphaproteobacteria
Planosporangium	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Fodinibacter	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Actinobacteria
Rehaibacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Gammaproteobacteria
Oceanirhabdus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Firmicutes
Levilinea	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ZLow Abundance
Desertibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Ammoniphilus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_2	Firmicutes
Marinilabilia	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Bacteroidetes
Intestinimonas	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
