,log2FC,log2CPM,PValue,FDR,level,otu,neglogp,tax
Actinoplanes,-0.834,14.721,0.035387765,0.09380742,Depleted,Actinoplanes,1.451146865,Actinobacteria
Longispora,-3.407,11.773,3.48E-06,2.35E-05,Depleted,Longispora,5.458420756,Actinobacteria
Luedemannella,1.504,13.489,0.416443055,0.658099933,NotSig,Luedemannella,0.380444376,Actinobacteria
Phytohabitans,13.025,11.288,0.510345526,0.737855184,NotSig,Phytohabitans,0.292135688,Actinobacteria
Planosporangium,10.704,8.966,0.510345526,0.737855184,NotSig,Planosporangium,0.292135688,Actinobacteria
Mycobacterium,0.21,13.666,0.327193394,0.553861179,NotSig,Mycobacterium,0.485195473,Actinobacteria
Nakamurella,14.703,10.966,0.044761205,0.114271822,Enriched,Nakamurella,1.349098231,Actinobacteria
Nocardia,4.431,11.773,0.002171873,0.008008432,Enriched,Nocardia,2.663165574,Actinobacteria
Gordonia,18.579,15.425,0.002430732,0.008893986,Enriched,Gordonia,2.614262922,Actinobacteria
Rhodococcus,0.014,12.773,0.552057605,0.775456691,NotSig,Rhodococcus,0.258015603,Actinobacteria
Williamsia,1.986,11.551,0.605131637,0.830028058,NotSig,Williamsia,0.218150141,Actinobacteria
Nocardioides,4.829,14.357,1.07E-07,8.83E-07,Enriched,Nocardioides,6.970616222,Actinobacteria
Aeromicrobium,2.516,10.967,0.20058725,0.367215498,NotSig,Aeromicrobium,0.697696676,Actinobacteria
Kribbella,10.704,8.966,0.510345526,0.737855184,NotSig,Kribbella,0.292135688,Actinobacteria
Nocardiopsis,-1.085,11.551,0.035498253,0.09380742,Depleted,Nocardiopsis,1.44979302,Actinobacteria
Streptomonospora,10.704,8.966,0.510345526,0.737855184,NotSig,Streptomonospora,0.292135688,Actinobacteria
Cellulosimicrobium,5.787,16.323,0.200592724,0.367215498,NotSig,Cellulosimicrobium,0.697684824,Actinobacteria
Promicromonospora,1.927,13.824,0.169844108,0.333380389,NotSig,Promicromonospora,0.769949514,Actinobacteria
Propionibacterium,2.687,13.425,2.30E-09,2.40E-08,Enriched,Propionibacterium,8.638272164,Actinobacteria
Naumannella,-17.411,12.551,2.97E-09,3.02E-08,Depleted,Naumannella,8.527243551,Actinobacteria
Aestuariimicrobium,13.873,12.136,0.510345526,0.737855184,NotSig,Aestuariimicrobium,0.292135688,Actinobacteria
Amycolatopsis,0.815,13.213,0.084064091,0.196332992,NotSig,Amycolatopsis,1.075389479,Actinobacteria
Pseudonocardia,20.486,16.835,0.000846584,0.003491547,Enriched,Pseudonocardia,3.072329944,Actinobacteria
Lechevalieria,-4.327,13.136,5.70E-14,1.02E-12,Depleted,Lechevalieria,13.24412514,Actinobacteria
Saccharopolyspora,1.759,12.136,0.590845967,0.816993406,NotSig,Saccharopolyspora,0.228525725,Actinobacteria
Actinomycetospora,12.703,9.966,0.250691578,0.435733108,NotSig,Actinomycetospora,0.600860256,Actinobacteria
Saccharomonospora,12.704,10.967,0.510345526,0.737855184,NotSig,Saccharomonospora,0.292135688,Actinobacteria
Allokutzneria,13.288,9.966,0.183929236,0.343544328,NotSig,Allokutzneria,0.735349233,Actinobacteria
Rarobacter,-15.209,9.967,1.73E-05,0.000104659,Depleted,Rarobacter,4.761953897,Actinobacteria
Haloactinobacterium,-11.888,8.966,0.13295989,0.275375564,NotSig,Haloactinobacterium,0.876279353,Actinobacteria
Sanguibacter,-5.283,14.053,2.60E-10,3.09E-09,Depleted,Sanguibacter,9.585026652,Actinobacteria
Sporichthya,10.704,8.967,0.510345526,0.737855184,NotSig,Sporichthya,0.292135688,Actinobacteria
Streptomyces,-2.317,14.551,1.15E-19,3.23E-18,Depleted,Streptomyces,18.93930216,Actinobacteria
Kitasatospora,-6.938,12.288,1.16E-11,1.58E-10,Depleted,Kitasatospora,10.93554201,Actinobacteria
Streptosporangium,12.288,10.551,0.510345526,0.737855184,NotSig,Streptosporangium,0.292135688,Actinobacteria
Actinomadura,-0.789,12.136,0.004992873,0.016719955,Depleted,Actinomadura,2.301649481,Actinobacteria
Actinoallomurus,14.162,12.136,0.250691578,0.435733108,NotSig,Actinoallomurus,0.600860256,Actinobacteria
Bifidobacterium,2.301,13.053,0.186251248,0.346613094,NotSig,Bifidobacterium,0.729900809,Actinobacteria
Atopobium,1.459,11.288,0.038247565,0.100128268,Enriched,Atopobium,1.417396209,Actinobacteria
Euzebya,-8.349,16.26,6.81E-52,1.22E-49,Depleted,Euzebya,51.16685289,Actinobacteria
Gaiella,-0.447,9.966,0.881892895,1,NotSig,Gaiella,0.054584156,Actinobacteria
Nitriliruptor,-5.151,13.666,6.66E-09,6.46E-08,Depleted,Nitriliruptor,8.176525771,Actinobacteria
Rubrobacter,0.516,11.288,0.775752559,1,NotSig,Rubrobacter,0.110276783,Actinobacteria
Conexibacter,0.714,13.288,0.741022456,0.975497274,NotSig,Conexibacter,0.130168631,Actinobacteria
Patulibacter,-2.869,13.551,0.95247152,1,NotSig,Patulibacter,0.021148001,Actinobacteria
Solirubrobacter,-1.382,12.136,1.14E-06,8.40E-06,Depleted,Solirubrobacter,5.943095149,Actinobacteria
Thermoleophilum,10.704,8.966,0.510345526,0.737855184,NotSig,Thermoleophilum,0.292135688,Actinobacteria
Rhizomicrobium,-0.014,10.551,0.372917796,0.597114366,NotSig,Rhizomicrobium,0.428386891,Alphaproteobacteria
Geminicoccus,3.264,13.136,4.14E-06,2.76E-05,Enriched,Geminicoccus,5.382999659,Alphaproteobacteria
Phenylobacterium,4.324,13.55,0.062804767,0.152419052,NotSig,Phenylobacterium,1.202007391,Alphaproteobacteria
Brevundimonas,1.373,16.594,0.877915426,1,NotSig,Brevundimonas,0.05654732,Alphaproteobacteria
Caulobacter,-0.126,15.195,0.527719101,0.756455868,NotSig,Caulobacter,0.277597186,Alphaproteobacteria
Asticcacaulis,-4.184,11.966,0.550070734,0.775456691,NotSig,Asticcacaulis,0.259581461,Alphaproteobacteria
Hyphomonas,5.094,18.573,4.05E-28,1.86E-26,Enriched,Hyphomonas,27.39254498,Alphaproteobacteria
Ponticaulis,0.386,18.342,0.033113045,0.089833299,Enriched,Ponticaulis,1.480000881,Alphaproteobacteria
Algimonas,-0.721,16.085,0.075429856,0.17820928,NotSig,Algimonas,1.122456721,Alphaproteobacteria
Hellea,0.701,15.505,0.002652079,0.009605372,Enriched,Hellea,2.576413543,Alphaproteobacteria
Litorimonas,4.177,17.011,1.87E-09,1.97E-08,Enriched,Litorimonas,8.728158393,Alphaproteobacteria
Fretibacter,6.269,14.61,8.63E-10,9.47E-09,Enriched,Fretibacter,9.063989204,Alphaproteobacteria
Hirschia,3.062,15.681,0.234769242,0.422466215,NotSig,Hirschia,0.629358802,Alphaproteobacteria
Maricaulis,5.455,17.188,1.88E-09,1.98E-08,Enriched,Maricaulis,8.725842151,Alphaproteobacteria
Henriciella,1.757,13.053,0.001203669,0.004797863,Enriched,Henriciella,2.919492924,Alphaproteobacteria
Oceanicaulis,17.178,12.665,0.000649639,0.002809195,Enriched,Oceanicaulis,3.187327911,Alphaproteobacteria
Robiginitomaculum,10.704,8.966,0.510345526,0.737855184,NotSig,Robiginitomaculum,0.292135688,Alphaproteobacteria
Kiloniella,2.816,12.551,0.024882333,0.070311067,Enriched,Kiloniella,1.604108902,Alphaproteobacteria
Kordiimonas,-1.166,14.323,0.771842765,1,NotSig,Kordiimonas,0.112471162,Alphaproteobacteria
Temperatibacter,-0.97,14.773,0.209557249,0.380455718,NotSig,Temperatibacter,0.678697311,Alphaproteobacteria
Parvularcula,1.559,16.242,0.005150471,0.017092376,Enriched,Parvularcula,2.288153054,Alphaproteobacteria
Fulvimarina,4.441,14.694,0.024134675,0.068469545,Enriched,Fulvimarina,1.617358545,Alphaproteobacteria
Martelella,5.14,14.897,5.77E-05,0.000316903,Enriched,Martelella,4.238824187,Alphaproteobacteria
Aurantimonas,17.458,14.214,0.001868133,0.007052448,Enriched,Aurantimonas,2.728592208,Alphaproteobacteria
Aureimonas,1.664,13.774,0.834723997,1,NotSig,Aureimonas,0.078457101,Alphaproteobacteria
Bartonella,0.153,12.136,0.106010997,0.232734912,NotSig,Bartonella,0.974649081,Alphaproteobacteria
Beijerinckia,0.722,12.666,0.643474013,0.870367219,NotSig,Beijerinckia,0.191468988,Alphaproteobacteria
Methyloferula,4.53,12.288,4.36E-05,0.000246704,Enriched,Methyloferula,4.360513511,Alphaproteobacteria
Methylovirgula,12.704,10.551,0.349472314,0.564270173,NotSig,Methylovirgula,0.456587224,Alphaproteobacteria
Methylorosula,-13.472,9.966,0.033095602,0.089833299,Depleted,Methylorosula,1.480229715,Alphaproteobacteria
Methylocapsa,0.816,8.966,0.60198082,0.828382112,NotSig,Methylocapsa,0.220417346,Alphaproteobacteria
Pseudochelatococcus,0.623,11.288,0.646713614,0.873920764,NotSig,Pseudochelatococcus,0.189287997,Alphaproteobacteria
Bradyrhizobium,2.723,12.551,0.045273118,0.115365607,Enriched,Bradyrhizobium,1.344159594,Alphaproteobacteria
Bosea,4.648,17.085,0.001596686,0.006174718,Enriched,Bosea,2.796780483,Alphaproteobacteria
Salinarimonas,2.062,12.287,0.901061612,1,NotSig,Salinarimonas,0.045245512,Alphaproteobacteria
Tardiphaga,10.704,8.967,0.510345526,0.737855184,NotSig,Tardiphaga,0.292135688,Alphaproteobacteria
Pseudochrobactrum,1.137,9.966,0.605131637,0.830028058,NotSig,Pseudochrobactrum,0.218150141,Alphaproteobacteria
Ochrobactrum,4.347,15.566,0.007147204,0.023179684,Enriched,Ochrobactrum,2.145863822,Alphaproteobacteria
Falsochrobactrum,-1.646,14.392,2.27E-05,0.000134564,Depleted,Falsochrobactrum,4.643974143,Alphaproteobacteria
Cohaesibacter,-1.214,12.774,0.520117346,0.749704498,NotSig,Cohaesibacter,0.283898662,Alphaproteobacteria
Rhodoplanes,0.401,9.966,0.611450575,0.832578412,NotSig,Rhodoplanes,0.213638642,Alphaproteobacteria
Pedomicrobium,1.348,14.176,0.146347023,0.292080003,NotSig,Pedomicrobium,0.834616108,Alphaproteobacteria
Devosia,2.592,15.504,4.46E-06,2.94E-05,Enriched,Devosia,5.350665141,Alphaproteobacteria
Hyphomicrobium,3.709,15.032,3.17E-14,5.81E-13,Enriched,Hyphomicrobium,13.49894074,Alphaproteobacteria
Blastochloris,2.194,11.967,0.038311166,0.100128268,Enriched,Blastochloris,1.41667463,Alphaproteobacteria
Rhodomicrobium,-1.592,14.849,0.234403873,0.422341322,NotSig,Rhodomicrobium,0.630035217,Alphaproteobacteria
Filomicrobium,2.524,14.489,0.146115417,0.29202619,NotSig,Filomicrobium,0.835303958,Alphaproteobacteria
Pelagibacterium,1.401,11.774,0.457574338,0.714909025,NotSig,Pelagibacterium,0.33953834,Alphaproteobacteria
Maritalea,0.102,12.772,0.010040039,0.031557568,Enriched,Maritalea,1.9982646,Alphaproteobacteria
Prosthecomicrobium,1.815,10.966,0.458820653,0.714909025,NotSig,Prosthecomicrobium,0.338357041,Alphaproteobacteria
Microvirga,13.288,8.967,0.102636146,0.227272591,NotSig,Microvirga,0.988699664,Alphaproteobacteria
Methylobacterium,4.734,17.793,0.000257998,0.001227211,Enriched,Methylobacterium,3.588383661,Alphaproteobacteria
Methylocystis,0.256,12.55,0.144537701,0.290019172,NotSig,Methylocystis,0.840018857,Alphaproteobacteria
Pleomorphomonas,0.726,14.095,0.0016308,0.006272647,Enriched,Pleomorphomonas,2.787599297,Alphaproteobacteria
Terasakiella,1.803,14.694,0.131781496,0.275375564,NotSig,Terasakiella,0.880145567,Alphaproteobacteria
Mesorhizobium,5.474,14.897,7.90E-08,6.71E-07,Enriched,Mesorhizobium,7.102372909,Alphaproteobacteria
Pseudahrensia,4.053,17.342,1.22E-08,1.12E-07,Enriched,Pseudahrensia,7.913640169,Alphaproteobacteria
Hoeflea,1.226,14.667,7.16E-05,0.000382634,Enriched,Hoeflea,4.145086978,Alphaproteobacteria
Aquamicrobium,4.893,18.645,6.76E-09,6.52E-08,Enriched,Aquamicrobium,8.170053304,Alphaproteobacteria
Phyllobacterium,3.686,14.747,9.88E-08,8.20E-07,Enriched,Phyllobacterium,7.005243055,Alphaproteobacteria
Lentilitoribacter,5.434,15.785,4.42E-10,5.13E-09,Enriched,Lentilitoribacter,9.354577731,Alphaproteobacteria
Chelativorans,-1.123,14.426,4.72E-08,4.13E-07,Depleted,Chelativorans,7.326058001,Alphaproteobacteria
Nitratireductor,3.253,14.053,0.04145027,0.107154954,Enriched,Nitratireductor,1.382472636,Alphaproteobacteria
Rhizobium,2.792,16.58,1.59E-09,1.70E-08,Enriched,Rhizobium,8.798602876,Alphaproteobacteria
Kaistia,2.579,17.175,6.95E-09,6.66E-08,Enriched,Kaistia,8.158015195,Alphaproteobacteria
Ensifer,16.025,13.054,0.020021198,0.058502425,Enriched,Ensifer,1.698509939,Alphaproteobacteria
Shinella,-0.185,10.551,0.353601425,0.570157326,NotSig,Shinella,0.451485993,Alphaproteobacteria
Amorphus,-1.502,16.315,0.000169388,0.000845162,Depleted,Amorphus,3.77111736,Alphaproteobacteria
Methylobrevis,13.288,9.966,0.136780666,0.277650696,NotSig,Methylobrevis,0.863975286,Alphaproteobacteria
Phreatobacter,15.094,13.287,0.349472314,0.564270173,NotSig,Phreatobacter,0.456587224,Alphaproteobacteria
Alsobacter,-0.185,8.967,0.914315183,1,NotSig,Alsobacter,0.038904068,Alphaproteobacteria
Bauldia,16.79,13.873,0.015355234,0.046091182,Enriched,Bauldia,1.813743561,Alphaproteobacteria
Methyloceanibacter,0.903,12.425,0.146056241,0.29202619,NotSig,Methyloceanibacter,0.835479881,Alphaproteobacteria
Anderseniella,3.27,14.988,7.13E-05,0.000382634,Enriched,Anderseniella,4.14691047,Alphaproteobacteria
Methyloligella,3.528,14.551,0.000128689,0.000662956,Enriched,Methyloligella,3.890458574,Alphaproteobacteria
Tepidamorphus,1.52,13.358,0.060436277,0.147171616,NotSig,Tepidamorphus,1.218702297,Alphaproteobacteria
Rhodobium,-3.887,14.849,8.74E-09,8.26E-08,Depleted,Rhodobium,8.058488567,Alphaproteobacteria
Parvibaculum,0.868,13.288,0.651142944,0.878242893,NotSig,Parvibaculum,0.186323661,Alphaproteobacteria
Roseospirillum,-4.717,14.609,2.00E-14,3.76E-13,Depleted,Roseospirillum,13.69897,Alphaproteobacteria
Rhodoligotrophos,-1.184,8.966,0.552446388,0.775456691,NotSig,Rhodoligotrophos,0.257709862,Alphaproteobacteria
Afifella,10.704,8.966,0.510345526,0.737855184,NotSig,Afifella,0.292135688,Alphaproteobacteria
Roseiarcus,-0.618,14.214,9.33E-05,0.000487939,Depleted,Roseiarcus,4.030118356,Alphaproteobacteria
Pseudolabrys,3.274,12.287,0.262163851,0.45236737,NotSig,Pseudolabrys,0.581427192,Alphaproteobacteria
Pseudoxanthobacter,1.156,15.214,0.665331834,0.894000496,NotSig,Pseudoxanthobacter,0.176961696,Alphaproteobacteria
Xanthobacter,1.737,15.305,0.869333138,1,NotSig,Xanthobacter,0.060813765,Alphaproteobacteria
Azorhizobium,1.815,13.61,0.065705674,0.159188448,NotSig,Azorhizobium,1.182397125,Alphaproteobacteria
Amylibacter,-5.762,17.805,1.08E-30,5.91E-29,Depleted,Amylibacter,29.96657624,Alphaproteobacteria
Thalassococcus,-1.246,18.795,6.87E-25,2.51E-23,Depleted,Thalassococcus,24.16304326,Alphaproteobacteria
Planktomarina,-4.157,17.349,1.50E-26,5.79E-25,Depleted,Planktomarina,25.82390874,Alphaproteobacteria
Mameliella,1.909,16.557,2.52E-05,0.000147981,Enriched,Mameliella,4.598599459,Alphaproteobacteria
Litoreibacter,1.623,17.848,0.743119927,0.977356807,NotSig,Litoreibacter,0.128941093,Alphaproteobacteria
Pseudoruegeria,3.748,17.799,2.23E-14,4.13E-13,Enriched,Pseudoruegeria,13.65169514,Alphaproteobacteria
Pelagicola,0.905,16.799,0.153164588,0.302722807,NotSig,Pelagicola,0.814841633,Alphaproteobacteria
Loktanella,2.124,17.261,4.87E-10,5.59E-09,Enriched,Loktanella,9.312471039,Alphaproteobacteria
Sulfitobacter,2.624,18.074,8.66E-20,2.47E-18,Enriched,Sulfitobacter,19.06248211,Alphaproteobacteria
Tateyamaria,-0.373,16.954,0.00128984,0.005098621,Depleted,Tateyamaria,2.889464159,Alphaproteobacteria
Ruegeria,2.248,17.505,8.61E-13,1.36E-11,Enriched,Ruegeria,12.06499685,Alphaproteobacteria
Citreicella,-0.044,16.417,0.003285078,0.011661211,Depleted,Citreicella,2.483454314,Alphaproteobacteria
Haematobacter,2.607,16.458,6.70E-07,5.11E-06,Enriched,Haematobacter,6.173925197,Alphaproteobacteria
Albidovulum,1.889,16.896,0.185921969,0.346613094,NotSig,Albidovulum,0.73066929,Alphaproteobacteria
Paracoccus,2.651,15.733,0.000265234,0.001253273,Enriched,Paracoccus,3.576370805,Alphaproteobacteria
Celeribacter,7.859,18.277,0.010671455,0.033249272,Enriched,Celeribacter,1.971776363,Alphaproteobacteria
Rhodobacter,0.928,15.136,0.520655994,0.749723617,NotSig,Rhodobacter,0.283449127,Alphaproteobacteria
Nautella,-0.246,17.891,0.856499393,1,NotSig,Nautella,0.06727294,Alphaproteobacteria
Roseovarius,2.251,14.799,1.33E-12,2.05E-11,Enriched,Roseovarius,11.87614836,Alphaproteobacteria
Boseongicola,2.884,14.358,0.003147991,0.011202453,Enriched,Boseongicola,2.501966518,Alphaproteobacteria
Pseudopelagicola,2.265,15.252,0.000474148,0.0021277,Enriched,Pseudopelagicola,3.324086077,Alphaproteobacteria
Marivita,0.717,15.01,0.008375399,0.026618472,Enriched,Marivita,2.076994494,Alphaproteobacteria
Octadecabacter,4.176,17.176,2.64E-10,3.12E-09,Enriched,Octadecabacter,9.578396073,Alphaproteobacteria
Thalassobius,6.504,16.156,6.91E-13,1.11E-11,Enriched,Thalassobius,12.16052195,Alphaproteobacteria
Pseudooctadecabacter,1.156,14.693,0.00190206,0.007161582,Enriched,Pseudooctadecabacter,2.720775787,Alphaproteobacteria
Amaricoccus,6.8,15.474,6.28E-18,1.54E-16,Enriched,Amaricoccus,17.20204036,Alphaproteobacteria
Ahrensia,7.389,16.384,7.23E-09,6.88E-08,Enriched,Ahrensia,8.140861703,Alphaproteobacteria
Hwanghaeicola,0.003,12.666,0.004304278,0.014980989,Enriched,Hwanghaeicola,2.366099687,Alphaproteobacteria
Jannaschia,1.937,15.074,4.04E-11,5.19E-10,Enriched,Jannaschia,10.39361863,Alphaproteobacteria
Tropicimonas,6.608,14.943,7.81E-07,5.86E-06,Enriched,Tropicimonas,6.107348966,Alphaproteobacteria
Rhodovulum,2.548,14.848,2.24E-05,0.000133065,Enriched,Rhodovulum,4.649751982,Alphaproteobacteria
Shimia,1.503,16.601,1.25E-05,7.61E-05,Enriched,Shimia,4.903089987,Alphaproteobacteria
Gemmobacter,1.361,14.824,0.067601262,0.162741183,NotSig,Gemmobacter,1.170045196,Alphaproteobacteria
Albimonas,4.883,15.897,1.61E-10,1.95E-09,Enriched,Albimonas,9.793174124,Alphaproteobacteria
Youngimonas,-4.959,14.489,0.000809496,0.003397503,Depleted,Youngimonas,3.091785293,Alphaproteobacteria
Pseudorhodobacter,-0.713,13.053,0.00145439,0.005639712,Depleted,Pseudorhodobacter,2.83731912,Alphaproteobacteria
Sagittula,1.117,15.535,0.474799821,0.732474968,NotSig,Sagittula,0.323489453,Alphaproteobacteria
Ascidiaceihabitans,2.254,17.367,0.032944401,0.089833299,Enriched,Ascidiaceihabitans,1.482218384,Alphaproteobacteria
Oceanibulbus,-1.368,15.074,0.151360068,0.301242424,NotSig,Oceanibulbus,0.819988686,Alphaproteobacteria
