,log2FC,log2CPM,PValue,FDR,level,otu,neglogp,tax
Corynebacterium,-4.03,14.25,1.04E-27,2.11E-25,Depleted,Corynebacterium,26.98296666,Actinobacteria
Jatrophihabitans,16.417,11.551,0.000225796,0.001556669,Enriched,Jatrophihabitans,3.646283756,Actinobacteria
Fodinicola,3.837,11.551,0.000163178,0.001188039,Enriched,Fodinicola,3.787338394,Actinobacteria
Demequina,-7.016,17.58,1.70E-27,2.70E-25,Depleted,Demequina,26.76955108,Actinobacteria
Lysinimicrobium,-18.838,12.967,4.60E-06,5.18E-05,Depleted,Lysinimicrobium,5.337242168,Actinobacteria
Brachybacterium,15.484,11.288,0.0140396,0.04574273,Enriched,Brachybacterium,1.852645265,Actinobacteria
Dietzia,4.463,12.136,0.006777671,0.026940771,Enriched,Dietzia,2.168919516,Actinobacteria
Blastococcus,2.252,8.967,0.124113308,0.254102855,NotSig,Blastococcus,0.906181649,Actinobacteria
Modestobacter,1.274,13.214,0.029597176,0.082169592,Enriched,Modestobacter,1.528749725,Actinobacteria
Geodermatophilus,-0.645,12.287,0.248043594,0.444837454,NotSig,Geodermatophilus,0.605471985,Actinobacteria
Glycomyces,-0.747,9.966,0.79639503,1,NotSig,Glycomyces,0.098871459,Actinobacteria
Ornithinibacter,0.926,14.096,0.185942943,0.358084452,NotSig,Ornithinibacter,0.7306203,Actinobacteria
Terrabacter,-1.156,15.441,0.511723662,0.733899162,NotSig,Terrabacter,0.290964501,Actinobacteria
Tetrasphaera,-2.829,14.666,8.31E-08,1.38E-06,Depleted,Tetrasphaera,7.080398976,Actinobacteria
Ornithinimicrobium,15.725,11.774,0.007008049,0.027399138,Enriched,Ornithinimicrobium,2.15440287,Actinobacteria
Serinicoccus,17.61,12.966,7.04E-06,7.39E-05,Enriched,Serinicoccus,5.152427341,Actinobacteria
Intrasporangium,1.252,8.966,0.468099465,0.682306371,NotSig,Intrasporangium,0.329661855,Actinobacteria
Kineococcus,-7.205,17.26,0.219070803,0.408112318,NotSig,Kineococcus,0.6594155,Actinobacteria
Kineosporia,3.713,13.214,0.000555305,0.003260991,Enriched,Kineosporia,3.255468416,Actinobacteria
Rhodoluna,-5.458,16.602,2.71E-29,7.75E-27,Depleted,Rhodoluna,28.56703071,Actinobacteria
Agromyces,-6.296,14.966,2.59E-27,3.69E-25,Depleted,Agromyces,26.58670024,Actinobacteria
Agrococcus,-5.863,17.761,7.30E-06,7.60E-05,Depleted,Agrococcus,5.13667714,Actinobacteria
Microbacterium,4.399,14.966,0.000228362,0.001566695,Enriched,Microbacterium,3.641376162,Actinobacteria
Leifsonia,-0.113,13.873,0.554384254,0.780953929,NotSig,Leifsonia,0.256189113,Actinobacteria
Mycetocola,-6.307,14.358,0.000344519,0.002255175,Depleted,Mycetocola,3.462786822,Actinobacteria
Gryllotalpicola,-7.705,15.999,4.06E-28,9.65E-26,Depleted,Gryllotalpicola,27.39147397,Actinobacteria
Microcella,2.11,14.666,0.00115791,0.00598673,Enriched,Microcella,2.936325195,Actinobacteria
Glaciihabitans,-5.892,12.667,6.46E-18,4.19E-16,Depleted,Glaciihabitans,17.18976748,Actinobacteria
Pseudoclavibacter,-4.029,12.667,2.15E-11,7.13E-10,Depleted,Pseudoclavibacter,10.66756154,Actinobacteria
Lysinimonas,15.025,10.551,0.014039883,0.04574273,Enriched,Lysinimonas,1.852636511,Actinobacteria
Herbiconiux,15.025,10.55,0.014039883,0.04574273,Enriched,Herbiconiux,1.852636511,Actinobacteria
Rathayibacter,-4.352,12.288,1.62E-06,2.21E-05,Depleted,Rathayibacter,5.790484985,Actinobacteria
Amnibacterium,-17.326,13.136,5.58E-07,8.15E-06,Depleted,Amnibacterium,6.253365801,Actinobacteria
Arthrobacter,0.138,16.433,0.002622675,0.011732153,Enriched,Arthrobacter,2.581255524,Actinobacteria
Kocuria,6.086,14.288,2.81E-06,3.46E-05,Enriched,Kocuria,5.55129368,Actinobacteria
Micrococcus,6.791,14.287,0.003935022,0.016613245,Enriched,Micrococcus,2.405052835,Actinobacteria
Sinomonas,13.61,9.966,0.123234059,0.253841383,NotSig,Sinomonas,0.909269247,Actinobacteria
Micromonospora,1.16,11.288,0.523570053,0.746388077,NotSig,Micromonospora,0.281025202,Actinobacteria
Rugosimonospora,0.251,8.967,0.909576751,1,NotSig,Rugosimonospora,0.041160649,Actinobacteria
Actinoplanes,-3.899,13.214,2.71E-12,1.11E-10,Depleted,Actinoplanes,11.56703071,Actinobacteria
Dactylosporangium,1.254,8.966,0.45999959,0.678122454,NotSig,Dactylosporangium,0.337242555,Actinobacteria
Longispora,-5.629,11.966,1.81E-05,0.000175237,Depleted,Longispora,4.742321425,Actinobacteria
Allocatelliglobosispora,12.024,8.965,0.278364334,0.460818914,NotSig,Allocatelliglobosispora,0.55538641,Actinobacteria
Phytohabitans,2.573,10.55,0.460001777,0.678122454,NotSig,Phytohabitans,0.337240491,Actinobacteria
Planosporangium,3.574,10.966,0.119962383,0.253841383,NotSig,Planosporangium,0.920954916,Actinobacteria
Mycobacterium,-2.72,17.297,1.43E-08,2.73E-07,Depleted,Mycobacterium,7.844663963,Actinobacteria
Nakamurella,-1.332,8.967,0.233013209,0.426294678,NotSig,Nakamurella,0.632619459,Actinobacteria
Nocardia,0.989,9.967,0.300588589,0.49134011,NotSig,Nocardia,0.52202751,Actinobacteria
Gordonia,1.785,17.967,0.885665456,1,NotSig,Gordonia,0.052730294,Actinobacteria
Rhodococcus,2.055,14.848,2.36E-06,3.02E-05,Enriched,Rhodococcus,5.627087997,Actinobacteria
Williamsia,15.609,9.965,0.000225447,0.001556669,Enriched,Williamsia,3.646955539,Actinobacteria
Nocardioides,4.487,16.908,3.16E-06,3.86E-05,Enriched,Nocardioides,5.500312917,Actinobacteria
Aeromicrobium,0.93,11.288,0.206728963,0.387650762,NotSig,Aeromicrobium,0.684598674,Actinobacteria
Marmoricola,1.838,8.966,0.237048727,0.43091533,NotSig,Marmoricola,0.625162373,Actinobacteria
Kribbella,1.252,8.967,0.470816875,0.683474752,NotSig,Kribbella,0.32714798,Actinobacteria
Nocardiopsis,2.838,9.966,0.060752323,0.14708838,NotSig,Nocardiopsis,1.216437111,Actinobacteria
Thermobifida,0.253,8.966,0.905290014,1,NotSig,Thermobifida,0.04321227,Actinobacteria
Cellulosimicrobium,0.253,8.967,0.862850367,1,NotSig,Cellulosimicrobium,0.064064512,Actinobacteria
Promicromonospora,-14.772,8.967,0.008708784,0.031783721,Depleted,Promicromonospora,2.060042481,Actinobacteria
Propionibacterium,3.501,10.551,0.000518024,0.003105965,Enriched,Propionibacterium,3.285650119,Actinobacteria
Tessaracoccus,13.025,9.966,0.278364334,0.460818914,NotSig,Tessaracoccus,0.55538641,Actinobacteria
Naumannella,-3.747,12.136,3.55E-05,0.000324533,Depleted,Naumannella,4.449771647,Actinobacteria
Microlunatus,14.832,10.966,0.028381934,0.07941539,Enriched,Microlunatus,1.546958014,Actinobacteria
Pseudonocardia,2.254,8.967,0.117520625,0.253841383,NotSig,Pseudonocardia,0.929885908,Actinobacteria
Lechevalieria,-2.521,12.966,5.73E-08,9.73E-07,Depleted,Lechevalieria,7.241845378,Actinobacteria
Saccharopolyspora,-1.747,11.551,0.183825711,0.355446193,NotSig,Saccharopolyspora,0.735593746,Actinobacteria
Actinomycetospora,13.025,8.966,0.123231328,0.253841383,NotSig,Actinomycetospora,0.909278871,Actinobacteria
Saccharomonospora,12.026,8.967,0.278364334,0.460818914,NotSig,Saccharomonospora,0.55538641,Actinobacteria
Allokutzneria,12.024,8.965,0.278364334,0.460818914,NotSig,Allokutzneria,0.55538641,Actinobacteria
Haloactinobacterium,-17.654,12.772,1.29E-05,0.000129956,Depleted,Haloactinobacterium,4.88941029,Actinobacteria
Sanguibacter,-5.554,11.551,2.39E-06,3.02E-05,Depleted,Sanguibacter,5.621602099,Actinobacteria
Sporichthya,1.186,10.965,0.469974351,0.683474752,NotSig,Sporichthya,0.327925843,Actinobacteria
Streptomyces,-5.366,16.315,3.33E-33,2.37E-30,Depleted,Streptomyces,32.47755577,Actinobacteria
Streptacidiphilus,14.609,10.966,0.058282897,0.143892204,NotSig,Streptacidiphilus,1.234458869,Actinobacteria
Kitasatospora,-6.051,13.358,3.24E-08,5.86E-07,Depleted,Kitasatospora,7.48945499,Actinobacteria
Streptosporangium,1.021,10.966,0.097854751,0.21955775,NotSig,Streptosporangium,1.009418084,Actinobacteria
Actinomadura,-3.897,13.054,4.63E-16,2.45E-14,Depleted,Actinomadura,15.33441901,Actinobacteria
Actinoallomurus,15.61,11.288,0.014039883,0.04574273,Enriched,Actinoallomurus,1.852636511,Actinobacteria
Actinocorallia,1.712,11.965,0.514404297,0.736263723,NotSig,Actinocorallia,0.288695412,Actinobacteria
Motilibacter,-18.001,12.667,0.003232477,0.014236867,Depleted,Motilibacter,2.490464557,Actinobacteria
Bifidobacterium,-0.232,10.966,0.589871997,0.825272655,NotSig,Bifidobacterium,0.229242221,Actinobacteria
Atopobium,-0.748,10.967,0.154545232,0.306300064,NotSig,Atopobium,0.810944389,Actinobacteria
Olsenella,-2.554,9.965,0.091048447,0.207218714,NotSig,Olsenella,1.040727458,Actinobacteria
Euzebya,-13.357,8.966,0.112213049,0.246366169,NotSig,Euzebya,0.949956637,Actinobacteria
Gaiella,0.373,13.425,0.539535307,0.763249035,NotSig,Gaiella,0.26798013,Actinobacteria
Nitriliruptor,-3.433,12.873,0.016445023,0.051999868,Depleted,Nitriliruptor,1.783965515,Actinobacteria
Rubrobacter,0.837,9.967,0.862850865,1,NotSig,Rubrobacter,0.064064261,Actinobacteria
Conexibacter,0.441,14.943,0.286885658,0.473278421,NotSig,Conexibacter,0.542291162,Actinobacteria
Patulibacter,14.347,9.967,0.058282897,0.143892204,NotSig,Patulibacter,1.234458869,Actinobacteria
Solirubrobacter,-1.203,12.966,0.000109946,0.000856403,Depleted,Solirubrobacter,3.958820566,Actinobacteria
Thermoleophilum,0.625,11.551,0.635442341,0.882076467,NotSig,Thermoleophilum,0.19692385,Actinobacteria
Rhizomicrobium,1.438,13.966,0.130763713,0.265433596,NotSig,Rhizomicrobium,0.883512756,Alphaproteobacteria
Geminicoccus,-1.448,9.966,0.122830256,0.253841383,NotSig,Geminicoccus,0.910694643,Alphaproteobacteria
Phenylobacterium,3.885,16.288,8.52E-10,2.10E-08,Enriched,Phenylobacterium,9.069560405,Alphaproteobacteria
Brevundimonas,1.157,15.375,0.009065091,0.032999705,Enriched,Brevundimonas,2.042627832,Alphaproteobacteria
Caulobacter,0.141,13.873,0.141024422,0.283040578,NotSig,Caulobacter,0.850705672,Alphaproteobacteria
Asticcacaulis,4.208,13.668,0.010268988,0.036543257,Enriched,Asticcacaulis,1.988472354,Alphaproteobacteria
Hyphomonas,2.202,14.01,0.057035182,0.143892204,NotSig,Hyphomonas,1.243857168,Alphaproteobacteria
Ponticaulis,-7.874,18.372,5.41E-19,3.86E-17,Depleted,Ponticaulis,18.26680273,Alphaproteobacteria
Algimonas,-2.207,11.288,0.529166259,0.752861667,NotSig,Algimonas,0.276407855,Alphaproteobacteria
Hellea,-14.357,9.966,0.039336779,0.105518922,Depleted,Hellea,1.405201204,Alphaproteobacteria
Litorimonas,14.832,9.966,0.007007629,0.027399138,Enriched,Litorimonas,2.154428899,Alphaproteobacteria
Hirschia,0.619,13.824,0.141611036,0.283818747,NotSig,Hirschia,0.8489029,Alphaproteobacteria
Maricaulis,3.253,11.288,0.234032915,0.427065179,NotSig,Maricaulis,0.630723058,Alphaproteobacteria
Henriciella,15.347,11.288,0.028381934,0.07941539,Enriched,Henriciella,1.546958014,Alphaproteobacteria
Oceanicaulis,13.024,8.966,0.123234059,0.253841383,NotSig,Oceanicaulis,0.909269247,Alphaproteobacteria
Glycocaulis,13.025,9.966,0.278364334,0.460818914,NotSig,Glycocaulis,0.55538641,Alphaproteobacteria
Robiginitomaculum,12.025,8.966,0.278364334,0.460818914,NotSig,Robiginitomaculum,0.55538641,Alphaproteobacteria
Kiloniella,12.024,8.964,0.278364334,0.460818914,NotSig,Kiloniella,0.55538641,Alphaproteobacteria
Kordiimonas,12.026,8.967,0.278364334,0.460818914,NotSig,Kordiimonas,0.55538641,Alphaproteobacteria
Temperatibacter,17.194,12.425,0.000225783,0.001556669,Enriched,Temperatibacter,3.646308761,Alphaproteobacteria
Parvularcula,3.668,11.773,0.003593203,0.015444278,Enriched,Parvularcula,2.444518246,Alphaproteobacteria
Fulvimarina,19.602,14.214,7.05E-06,7.39E-05,Enriched,Fulvimarina,5.151810883,Alphaproteobacteria
Aurantimonas,5.207,12.873,5.87E-05,0.000498954,Enriched,Aurantimonas,4.231361899,Alphaproteobacteria
Aureimonas,4.955,12.873,0.000110993,0.000856403,Enriched,Aureimonas,3.95470441,Alphaproteobacteria
Bartonella,0.253,8.967,0.762558191,1,NotSig,Bartonella,0.11772701,Alphaproteobacteria
Beijerinckia,1.243,14.551,0.001650815,0.008208057,Enriched,Beijerinckia,2.782301594,Alphaproteobacteria
Methyloferula,12.024,8.965,0.278364334,0.460818914,NotSig,Methyloferula,0.55538641,Alphaproteobacteria
Methylovirgula,1.253,11.774,0.187306231,0.360223707,NotSig,Methylovirgula,0.727447775,Alphaproteobacteria
Methylorosula,-1.027,11.773,0.007596836,0.029063498,Depleted,Methylorosula,2.119367249,Alphaproteobacteria
Bradyrhizobium,1.812,15.734,0.256519241,0.455289748,NotSig,Bradyrhizobium,0.590880054,Alphaproteobacteria
Bosea,1.248,14.721,2.21E-05,0.000209807,Enriched,Bosea,4.655607726,Alphaproteobacteria
Salinarimonas,4.808,12.425,0.001764621,0.008471719,Enriched,Salinarimonas,2.753348557,Alphaproteobacteria
Tardiphaga,1.251,8.967,0.309493225,0.504163051,NotSig,Tardiphaga,0.509348854,Alphaproteobacteria
Pseudochrobactrum,2.157,13.92,0.735593053,0.995912037,NotSig,Pseudochrobactrum,0.133362381,Alphaproteobacteria
Ochrobactrum,5.067,15.306,0.001268783,0.006443253,Enriched,Ochrobactrum,2.896612649,Alphaproteobacteria
Cohaesibacter,4.06,13.214,3.97E-05,0.000354026,Enriched,Cohaesibacter,4.401209493,Alphaproteobacteria
Rhodoplanes,0.346,12.666,0.442296334,0.660205929,NotSig,Rhodoplanes,0.35428666,Alphaproteobacteria
Pedomicrobium,2.344,14.323,0.021159244,0.064243066,Enriched,Pedomicrobium,1.674499853,Alphaproteobacteria
Devosia,3.219,14.848,7.97E-11,2.32E-09,Enriched,Devosia,10.09854168,Alphaproteobacteria
Hyphomicrobium,1.35,16.835,0.001798447,0.008526194,Enriched,Hyphomicrobium,2.745102356,Alphaproteobacteria
Blastochloris,0.253,8.966,0.905290014,1,NotSig,Blastochloris,0.04321227,Alphaproteobacteria
Rhodomicrobium,-0.01,8.967,0.973792487,1,NotSig,Rhodomicrobium,0.01153358,Alphaproteobacteria
Pelagibacterium,4.159,12.135,0.000132877,0.00098246,Enriched,Pelagibacterium,3.876550186,Alphaproteobacteria
Ancalomicrobium,0.253,8.965,0.905290014,1,NotSig,Ancalomicrobium,0.04321227,Alphaproteobacteria
Maritalea,13.61,9.966,0.123234059,0.253841383,NotSig,Maritalea,0.909269247,Alphaproteobacteria
Prosthecomicrobium,0.128,10.551,0.402690944,0.606160313,NotSig,Prosthecomicrobium,0.395028137,Alphaproteobacteria
Microvirga,5.086,12.288,2.02E-07,3.17E-06,Enriched,Microvirga,6.694648631,Alphaproteobacteria
Methylobacterium,-0.364,13.668,0.039494431,0.105573419,Depleted,Methylobacterium,1.403464139,Alphaproteobacteria
Methylocystis,0.475,13.772,0.190311444,0.364529437,NotSig,Methylocystis,0.720535095,Alphaproteobacteria
Pleomorphomonas,5.007,11.55,0.00053147,0.00314692,Enriched,Pleomorphomonas,3.274521245,Alphaproteobacteria
Terasakiella,12.025,8.966,0.278364334,0.460818914,NotSig,Terasakiella,0.55538641,Alphaproteobacteria
Mesorhizobium,2.365,15.566,0.000487757,0.002949279,Enriched,Mesorhizobium,3.311796489,Alphaproteobacteria
Pseudahrensia,13.61,8.966,0.058281671,0.143892204,NotSig,Pseudahrensia,1.234468005,Alphaproteobacteria
Hoeflea,1.113,12.873,0.001886216,0.008883269,Enriched,Hoeflea,2.724408576,Alphaproteobacteria
Aquamicrobium,3.486,15.074,0.000848812,0.004750018,Enriched,Aquamicrobium,3.071188489,Alphaproteobacteria
Chelativorans,2.494,12.136,0.000993743,0.005291311,Enriched,Chelativorans,3.002725918,Alphaproteobacteria
Nitratireductor,4.253,10.966,0.003965651,0.016693167,Enriched,Nitratireductor,2.401685509,Alphaproteobacteria
Rhizobium,4.602,18.012,2.05E-23,1.95E-21,Enriched,Rhizobium,22.68824614,Alphaproteobacteria
Kaistia,1.516,10.967,0.230021613,0.422446387,NotSig,Kaistia,0.638231355,Alphaproteobacteria
Ensifer,4.06,13.425,2.13E-07,3.30E-06,Enriched,Ensifer,6.671620397,Alphaproteobacteria
Shinella,1.126,13.92,3.58E-05,0.000324533,Enriched,Shinella,4.446116973,Alphaproteobacteria
Amorphus,-0.642,15.175,0.000219976,0.001556669,Depleted,Amorphus,3.657624699,Alphaproteobacteria
Methylobrevis,2.837,9.965,0.062951497,0.150724474,NotSig,Methylobrevis,1.200993938,Alphaproteobacteria
Phreatobacter,2.328,12.873,2.19E-07,3.36E-06,Enriched,Phreatobacter,6.659555885,Alphaproteobacteria
Alsobacter,1.186,11.965,0.010248087,0.036543257,Enriched,Alsobacter,1.989357196,Alphaproteobacteria
Bauldia,2.713,9.967,0.007100895,0.027610291,Enriched,Bauldia,2.148686909,Alphaproteobacteria
Methyloceanibacter,2.128,9.966,0.061165368,0.147472365,NotSig,Methyloceanibacter,1.213494407,Alphaproteobacteria
Anderseniella,3.909,14.425,0.011924989,0.041504779,Enriched,Anderseniella,1.923542013,Alphaproteobacteria
Methyloligella,0.99,11.773,0.628768758,0.875673533,NotSig,Methyloligella,0.201509045,Alphaproteobacteria
Tepidamorphus,15.195,11.966,0.123234059,0.253841383,NotSig,Tepidamorphus,0.909269247,Alphaproteobacteria
Rhodobium,13.025,9.966,0.278364334,0.460818914,NotSig,Rhodobium,0.55538641,Alphaproteobacteria
Parvibaculum,1.128,12.774,0.021640286,0.065286868,Enriched,Parvibaculum,1.664737004,Alphaproteobacteria
Roseospirillum,-13.357,8.966,0.112218299,0.246366169,NotSig,Roseospirillum,0.949936319,Alphaproteobacteria
Rhodoligotrophos,0.88,11.288,0.182497234,0.353356246,NotSig,Rhodoligotrophos,0.738743713,Alphaproteobacteria
Afifella,-1.561,11.967,0.005512219,0.022283107,Depleted,Afifella,2.258673536,Alphaproteobacteria
Pseudolabrys,1.521,11.773,0.018327921,0.056856397,Enriched,Pseudolabrys,1.736886796,Alphaproteobacteria
Pseudoxanthobacter,-11.772,8.966,0.36365456,0.559266615,NotSig,Pseudoxanthobacter,0.439310962,Alphaproteobacteria
Xanthobacter,2.712,12.965,9.32E-05,0.000746983,Enriched,Xanthobacter,4.030584088,Alphaproteobacteria
Azorhizobium,-4.271,13.215,0.083053172,0.191465068,NotSig,Azorhizobium,1.080643776,Alphaproteobacteria
Ancylobacter,3.422,11.966,0.46539294,0.681144333,NotSig,Ancylobacter,0.332180209,Alphaproteobacteria
Labrys,0.839,8.966,0.506726186,0.727463046,NotSig,Labrys,0.295226652,Alphaproteobacteria
Amylibacter,-11.771,8.965,0.36365456,0.559266615,NotSig,Amylibacter,0.439310962,Alphaproteobacteria
Thalassococcus,0.253,15.489,0.008708566,0.031783721,Enriched,Thalassococcus,2.060053352,Alphaproteobacteria
Planktomarina,15.194,10.551,0.014039883,0.04574273,Enriched,Planktomarina,1.852636511,Alphaproteobacteria
Mameliella,1.92,14.92,0.048944529,0.127452269,Enriched,Mameliella,1.310295846,Alphaproteobacteria
Litoreibacter,1.974,14.214,0.505268024,0.726100171,NotSig,Litoreibacter,0.296478185,Alphaproteobacteria
Pseudoruegeria,5.144,14.58,0.001069119,0.005588396,Enriched,Pseudoruegeria,2.970973952,Alphaproteobacteria
Pelagicola,-17.881,12.874,0.003232477,0.014236867,Depleted,Pelagicola,2.490464557,Alphaproteobacteria
Loktanella,3.512,13.874,1.26E-05,0.000127104,Enriched,Loktanella,4.899629455,Alphaproteobacteria
Sulfitobacter,1.337,13.489,0.001962226,0.009098811,Enriched,Sulfitobacter,2.707250974,Alphaproteobacteria
Tateyamaria,0.616,11.288,0.732811265,0.993843948,NotSig,Tateyamaria,0.135007863,Alphaproteobacteria
Ruegeria,3.219,14.799,0.000405869,0.00256272,Enriched,Ruegeria,3.391614119,Alphaproteobacteria
Citreicella,-0.185,15.408,0.066649683,0.156429437,NotSig,Citreicella,1.176201912,Alphaproteobacteria
Haematobacter,1.319,14.551,0.000394628,0.002513989,Enriched,Haematobacter,3.403812104,Alphaproteobacteria
Albidovulum,0.767,16.367,0.582696359,0.817608362,NotSig,Albidovulum,0.234557696,Alphaproteobacteria
Paracoccus,2.494,18.558,1.49E-09,3.42E-08,Enriched,Paracoccus,8.826813732,Alphaproteobacteria
Celeribacter,-11.772,8.966,0.36365456,0.559266615,NotSig,Celeribacter,0.439310962,Alphaproteobacteria
Rhodobacter,-0.123,14.823,0.001186584,0.006112834,Depleted,Rhodobacter,2.925701512,Alphaproteobacteria
Nautella,1.727,11.551,0.022049286,0.066380446,Enriched,Nautella,1.656605469,Alphaproteobacteria
Roseovarius,13.025,8.966,0.123231328,0.253841383,NotSig,Roseovarius,0.909278871,Alphaproteobacteria
Boseongicola,16.195,12.136,0.014039034,0.04574273,Enriched,Boseongicola,1.852662774,Alphaproteobacteria
Pseudopelagicola,3.253,11.966,0.901007407,1,NotSig,Pseudopelagicola,0.045271639,Alphaproteobacteria
Marivita,0.151,12.873,0.497608766,0.716536538,NotSig,Marivita,0.303111978,Alphaproteobacteria
Octadecabacter,3.501,10.551,0.006870289,0.027157626,Enriched,Octadecabacter,2.163024994,Alphaproteobacteria
Thalassobius,14.609,9.964,0.014039034,0.04574273,Enriched,Thalassobius,1.852662774,Alphaproteobacteria
Pseudooctadecabacter,2.383,13.053,0.228081797,0.420312337,NotSig,Pseudooctadecabacter,0.641909374,Alphaproteobacteria
Amaricoccus,2.212,12.135,0.037102379,0.101040256,Enriched,Amaricoccus,1.430598243,Alphaproteobacteria
Ahrensia,2.253,12.551,0.008438501,0.031115611,Enriched,Ahrensia,2.073734694,Alphaproteobacteria
Hwanghaeicola,6.518,16.433,0.018011722,0.056119491,Enriched,Hwanghaeicola,1.744444765,Alphaproteobacteria
Jannaschia,5.153,15.323,0.002311307,0.010437453,Enriched,Jannaschia,2.636142365,Alphaproteobacteria
Tropicimonas,12.025,8.966,0.278364334,0.460818914,NotSig,Tropicimonas,0.55538641,Alphaproteobacteria
Rhodovulum,4.599,16.085,0.246607949,0.443769916,NotSig,Rhodovulum,0.607992929,Alphaproteobacteria
Shimia,1.839,9.966,0.460001777,0.678122454,NotSig,Shimia,0.337240491,Alphaproteobacteria
Gemmobacter,0.751,14.323,0.001703064,0.008409245,Enriched,Gemmobacter,2.768769031,Alphaproteobacteria
Albimonas,19.459,15.638,2.02E-07,3.17E-06,Enriched,Albimonas,6.694648631,Alphaproteobacteria
Youngimonas,-3.229,14.213,0.120501864,0.253841383,NotSig,Youngimonas,0.919006235,Alphaproteobacteria
Pseudorhodobacter,0.058,13.965,0.003786714,0.016082263,Enriched,Pseudorhodobacter,2.421737495,Alphaproteobacteria
Oceanibulbus,14.832,10.966,0.028381934,0.07941539,Enriched,Oceanibulbus,1.546958014,Alphaproteobacteria
Labrenzia,1.767,11.551,0.248448108,0.444837454,NotSig,Labrenzia,0.604764306,Alphaproteobacteria
Roseibium,1.253,8.966,0.465384239,0.681144333,NotSig,Roseibium,0.332188329,Alphaproteobacteria
Pseudovibrio,12.025,8.966,0.278364334,0.460818914,NotSig,Pseudovibrio,0.55538641,Alphaproteobacteria
